city,count
Wrocław,10
Warszawa,10
Poznań,6
Łódź,5
Lublin,4
Rzeszów,3
Młoszowa,3
Gdańsk,3
Zgierz,2
Toruń,2
Słupsk,2
Szczecin,2
Ruda Śląska,2
Pruszcz Gdański,2
Otwock,2
Marki,2
Kraków,2
Gdynia,2
Bolesławiec,2
Bielsko-Biała,2
