source_name,title,source_url,category,announcement_type,publication_date,animal_type,pet_name,region,city,reward,description
alertuj-ogloszenia.pl,Zaginęła kotka Flafi !,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-flafi/,Zaginął Kotek,Zaginione,2026-04-05,Kot,Flafi,kujawsko-pomorskie,Płużnica,500 PLN,"Nagroda 500 PLN Tydzień temu zaginęła nasza kotka o imieniu Flafi. Jest wysterylizowana. Nie oddalała się nigdy od domu na dłużej niż kilka godzin. Bardzo tęsknimy i prosimy o kontakt, gdy tylko ktoś ją zobaczy."
alertuj-ogloszenia.pl,Zaginął kocurek Loki,https://alertuj-ogloszenia.pl/listing/zaginal-kocurek-loki/,Zaginął Kotek,Zaginione,2026-04-04,Kot,Loki,dolnośląskie,Bierutow,,"Zaginął Loki (2 lata), kocur. Nie wrócił do domu w połowie marca 2026. W domu czekają na niego bliscy, siostra i psi brat. Prosimy o kontakt w przypadku jakichkolwiek informacji. Cechy szczególne: – dwie obroże (szara Foresto i brązowa skórzana) – blizna na tylnej lewej łapce przy pazurach"
alertuj-ogloszenia.pl,Zaginęła Kotka Kleo,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-kleo/,Zaginął Kotek,Zaginione,2026-04-03,Kot,Kleo,opolskie,Kalisz,,"Trzy dni temu w okolicach ratusza zaginęła kotka o imieniu Kleo. Kotka jest łagodna, ale bardzo płochliwa — może nie podchodzić do obcych osób. Bardzo prosimy, jeśli ktoś ją widział lub znalazł, o kontakt pod numerem telefonu:"
alertuj-ogloszenia.pl,Zaginął kot Medytator,https://alertuj-ogloszenia.pl/listing/zaginiony-kot-medytator/,Zaginął Kotek,Zaginione,2026-04-01,Kot,Medytator,pomorskie,Koszalin,Tak,"Okolice Podamirowo/Mścice . Nie pojawia się w domu około miesiąca Opis: Kot średniej wielkości, szaro-pręgowany. Ma biała klatkę piersiowa, brzuch i łapki, na pyszczku biała smugę na nosie. Jasne oczy. Jeśli ktoś go widział lub ma jakiekolwiek informacje – proszę o kontakt. Numer: Dla znalazcy czeka nagroda"
alertuj-ogloszenia.pl,Zaginął kot Szaman,https://alertuj-ogloszenia.pl/listing/zaginal-kot-szaman/,Zaginął Kotek,Zaginione,2026-03-31,Kot,Szaman,mazowieckie,Józefów k. Legionowa,200 PLN,Nagroda 200 PLN Zaginął 13 marca z okolic Józefowa kolo Legionowa. Jest czarno biały. Ma 3 lata. Bardzo sympatyczny. Na plecach jak siedzi na czarny znak zapytania a na prawej łapce czarne małe serduszko.
alertuj-ogloszenia.pl,Zaginęła kotka Bolszewo,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-bolszewo/,Zaginął Kotek,Zaginione,2026-03-30,Kot,MEL,pomorskie,Bolszewo,200 PLN,Nagroda 200 PLN Kotka wyszła z domu 27 marca w nocy w Bolszewie ul Kochanowskiego. Wabi się Mel. Ma 9 miesięcy.
alertuj-ogloszenia.pl,Zaginęła sunia Luna ! Proszę o pomoc !,https://alertuj-ogloszenia.pl/listing/zaginela-sunia-luna-prosze-o-pomoc/,Zaginął Piesek,Zaginione,2026-03-30,Pies,Luna,mazowieckie,Bronowo Zalesie,500 PLN,Nagroda 500 PLN Poszukuje mojego pieska wabi się Luna pobiegła za sarnami i nie wróciła jeszcze Bronowo Zalesie Nowe Trzepowo koło Płocka jest łagodna NAGRODA 500 zł
alertuj-ogloszenia.pl,Zaginął Piesek Łoli ‼️ 78-400 Szczecinek,https://alertuj-ogloszenia.pl/listing/zaginal-piesek-loli-%e2%80%bc%ef%b8%8f-78-400-szczecinek/,Zaginął Piesek,Zaginione,2026-03-30,Pies,Łoli,pomorskie,Szczecinek,1 000 PLN,"Nagroda 1 000 PLN ZAGINĄŁ PIES ‼️ NAGRODA💰 Pies musi brać leki – PILNE ‼️ W piątek 27 marca ok godz. 11 zniknął na osiedlu generalskim w Szczecinku. Widziałeś tego pieska, masz jakiś pomysł gdzie był/może być, w jakich rejonach Jego szukać ? Każda informacja jest arcyważna. Zadzwoń, tel. lub . Duży, biszkoptowy, klapnięte ucho, łagodny ale jeszcze dziki (adopcja dorosłego ze schroniska) wygolona przednia część prawej łapki po iniekcji leków, mieszaniec ala owczarek szwajcarski, dwie obroże: szara na insekty i druga z kontaktem telefonicznym. #zaginąłpies #szczecinek #pies #Łoli"
alertuj-ogloszenia.pl,Zaginął Kocur Filemon,https://alertuj-ogloszenia.pl/listing/zaginal-kocur-filemon/,Zaginął Kotek,Zaginione,2026-03-29,Kot,Filemon,mazowieckie,Warszawa,1 000 PLN,"Nagroda 1 000 PLN Zaginął 5 letni Kocur z chorym.okiem, w dniu 09.02.2026r. Jest płochliwy. Prośba o kontakt gdyby ktoś widział w okolicy ul.Pruszkowskiej na Ochocie."
alertuj-ogloszenia.pl,ZAGINĄŁ KOT ŚLEDŹ,https://alertuj-ogloszenia.pl/listing/zaginal-kot-sledz/,Zaginął Kotek,Zaginione,2026-03-28,Kot,Śledź,mazowieckie,piaseczyński,Tak,"Jesówka, Zalesie górne, Piaseczno W nocy 23/24 marca nie wrócił do domu (Jesówka, ul. Dzikich Gęsi). Kot ma 8 miesięcy, jest wykastrowany. Szczupły, cały CZARNY z białą łatką przy szyi, ma bursztynowe oczy. Rodzina bardzo się martwi i tęskni! Przewidziana NAGRODA dla znalazcy"
alertuj-ogloszenia.pl,Zaginął kocurek Elliot,https://alertuj-ogloszenia.pl/listing/zaginal-kocurek-elliot/,Zaginął Kotek,Zaginione,2026-03-28,Kot,Elliot,opolskie,Kolonowskie,,"Zaginął kocur! Szukamy naszego kota Elliota, który nie pojawił się w domu od około trzech tygodni. Kot posiada czarną obróżkę, jest szaro-bury z białym brzuszkiem, i białymi „skarpetkami” na łapkach, ma zielone oczy. Ostatni raz widziany w okolicach gminy w Kolonowskiem w Powiecie strzeleckim. Jeśli ktokolwiek go widział lub wie gdzie przebywa prosimy o pilny kontakt pod numer telefonu 🙏🏻🙏🏻"
alertuj-ogloszenia.pl,Zaginął piesek Lotos,https://alertuj-ogloszenia.pl/listing/zaginal-piesek-lotos/,Zaginął Piesek,Zaginione,2026-03-28,Pies,Lotos,łódzkie,Zgierz,,"W dniu 26.03.2026 około godziny 23 w Zgierzu w pobliżu zakładów Boruta zaginął pies imieniem Lotos .Jeśli ktokolwiek widział, proszę o kontakt"
